County,City,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Bronx,New York,8/6/2000,29.916667,0.030417,6.675,0.725
Bronx,New York,8/7/2000,28.708333,0.030333,6.791667,0.666667
Bronx,New York,8/7/2000,28.708333,0.030333,6.791667,0.65
Bronx,New York,8/7/2000,28.708333,0.030333,6.7625,0.666667
Bronx,New York,8/7/2000,28.708333,0.030333,6.7625,0.65
Bronx,New York,8/8/2000,31.291667,0.03275,6.666667,0.6375
Bronx,New York,8/8/2000,31.291667,0.03275,6.666667,0.6625
Bronx,New York,8/8/2000,31.291667,0.03275,6.6375,0.6375
Bronx,New York,8/8/2000,31.291667,0.03275,6.6375,0.6625
Bronx,New York,8/9/2000,35.375,0.03425,8,0.665217
Bronx,New York,8/9/2000,35.375,0.03425,8,0.6625
Bronx,New York,8/9/2000,35.375,0.03425,8.242857,0.665217
Bronx,New York,8/9/2000,35.375,0.03425,8.242857,0.6625
Bronx,New York,8/10/2000,31.047619,0.027722,5.708333,0.666667
Bronx,New York,8/10/2000,31.047619,0.027722,5.708333,0.591667
Bronx,New York,8/10/2000,31.047619,0.027722,5.675,0.666667
Bronx,New York,8/10/2000,31.047619,0.027722,5.675,0.591667
Bronx,New York,8/11/2000,37.333333,0.023833,4.416667,0.9
Bronx,New York,8/11/2000,37.333333,0.023833,4.416667,0.9625
Bronx,New York,8/11/2000,37.333333,0.023833,4.4125,0.9
Bronx,New York,8/11/2000,37.333333,0.023833,4.4125,0.9625
Bronx,New York,8/12/2000,15.875,0.019542,2.791667,0.504167
Bronx,New York,8/12/2000,15.875,0.019542,2.791667,0.575
Bronx,New York,8/12/2000,15.875,0.019542,2.775,0.504167
Bronx,New York,8/12/2000,15.875,0.019542,2.775,0.575
Bronx,New York,8/13/2000,12.791667,0.018333,2.208333,0.425
Bronx,New York,8/13/2000,12.791667,0.018333,2.208333,0.433333
Bronx,New York,8/13/2000,12.791667,0.018333,2.175,0.425
Bronx,New York,8/13/2000,12.791667,0.018333,2.175,0.433333
Bronx,New York,8/14/2000,19.181818,0.007917,2.863636,0.545833
Bronx,New York,8/14/2000,19.181818,0.007917,2.885714,0.545833
Bronx,New York,8/15/2000,22.625,0.0155,4.208333,0.641667
Bronx,New York,8/15/2000,22.625,0.0155,4.208333,0.55
Bronx,New York,8/15/2000,22.625,0.0155,4.175,0.641667
Bronx,New York,8/15/2000,22.625,0.0155,4.175,0.55
Bronx,New York,8/16/2000,30.375,0.022583,7.666667,0.591667
Bronx,New York,8/16/2000,30.375,0.022583,7.666667,0.716667
Bronx,New York,8/16/2000,30.375,0.022583,7.6375,0.591667
Bronx,New York,8/16/2000,30.375,0.022583,7.6375,0.716667
Bronx,New York,8/17/2000,19.083333,0.017583,3.5,0.463636
Bronx,New York,8/17/2000,19.083333,0.017583,3.5,0.416667
Bronx,New York,8/17/2000,19.083333,0.017583,3.475,0.463636
